,dr7objid,ra,dec,p_bar,psi_sparcfire,psi_gz2,logMstar,NSAID,ISDSS,INED,IAUNAME,Z,ZDIST,SERSIC_BA,SERSIC_PHI,PETRO_THETA,PETRO_BA90,PETRO_PHI90,PETRO_BA50,PETRO_PHI50,RUN,CAMCOL,FIELD,RERUN,ELPETRO_MASS,SERSIC_MASS,t01_smooth_or_features_a02_features_or_disk_debiased,t02_edgeon_a05_no_debiased,t04_spiral_a08_spiral_debiased,t11_arms_number_a31_1_flag,t11_arms_number_a32_2_flag,t11_arms_number_a33_3_flag,t11_arms_number_a34_4_flag,t11_arms_number_a36_more_than_4_flag,t11_arms_number_a37_cant_tell_flag
0,587739609160417293,174.3737,32.25246,1.0,-999.0,21.908631975161935,10.3703332681056,417673.0,423026.0,105389.0,J113729.68+321508.8,0.032708682,0.032610606,0.6359399,165.49567,12.919089,0.73070383,165.34949,0.91149575,122.92053,4623.0,4.0,111.0,301,23059214000.0,26986945000.0,0.9660000205039978,0.9706301160324491,1.0,0,1,0,0,0,0
1,587741489832329277,161.45752,27.619790000000002,0.6352983218568271,-999.0,21.404376456800822,10.779565796420245,498911.0,504316.0,89445.0,J104549.80+273711.2,0.044353895,0.044163942,0.72222304,101.979095,12.6267185,0.7995566,103.09625,0.79659885,120.3219,5061.0,3.0,311.0,301,34815988000.0,33635189000.0,1.0,0.9755851498401732,0.971693943091578,0,0,0,0,0,0
2,587739845929926848,240.149,15.685633,0.08206570765738991,21.451698303222656,20.027052027830038,10.580630479789033,526769.0,532346.0,173314.0,J160035.75+154108.2,0.035659257,0.0357377,0.755267,72.621124,21.200382,0.82857525,66.83475,0.83646524,85.082184,4678.0,5.0,255.0,301,25007473000.0,87039450000.0,1.0,1.0,0.9703406908429926,0,0,0,0,0,0
3,587732580981800993,166.7065,57.68545,0.24198472994727194,19.57958221435547,19.332195569933013,10.391910143515881,179025.0,183485.0,95494.0,J110649.55+574107.6,0.032174423,0.032516178,0.9809724,146.96823,21.254805,0.9061581,114.208984,0.8526158,134.3169,2987.0,1.0,88.0,301,12944195000.0,20661733000.0,0.9710000157356262,1.0,1.0,0,0,0,0,0,0
4,587738409251635215,150.26416,11.461418,0.1018270402417598,-999.0,17.735364467213756,10.605217638002758,360887.0,366225.0,75688.0,J100103.39+112741.1,0.036309328,0.035861738,0.879624,68.79849,7.587428,0.90242535,68.683426,0.93041134,55.01706,4338.0,1.0,49.0,301,15902511000.0,19090692000.0,0.9089999794960022,0.9757976250775051,0.9909843766366558,0,0,0,0,0,0
5,588011123038093364,176.29758999999999,61.70851,0.13416513079836842,-999.0,17.968400625902028,10.335930652379462,663152.0,-1.0,-1.0,J114511.59+614226.0,0.035323363,0.035739366,0.44228703,133.31671,11.456174,0.6291057,135.45255,0.7030437,139.89786,2299.0,2.0,28.0,301,15648373000.0,16506364000.0,0.9169999957084656,0.9372032746606241,0.9526297557226748,0,0,0,0,0,0
6,587738411409342491,174.07,15.470237,0.07278246344520907,-999.0,16.368040841336665,10.547256371001756,364908.0,370246.0,105027.0,J113616.80+152812.8,0.035968956,0.035581272,0.7502497,128.22192,14.403017,0.7974885,121.839966,0.8579971,135.82077,4381.0,5.0,24.0,301,16882950000.0,22674145000.0,0.9990000128746033,0.980436587907659,1.0,0,0,0,0,0,0
7,588017704531853356,158.3893,11.871378,0.3964143118671501,10.825822830200195,20.20639282277144,10.427449219001383,320841.0,326085.0,85781.0,J103333.42+115217.1,0.03406446,0.033609632,0.47640282,65.81665,11.3908,0.5702044,69.14145,0.79849243,51.83246,3836.0,5.0,67.0,301,19196828000.0,16757581000.0,0.800000011920929,0.9741891007252811,0.9508444209580805,0,1,0,0,0,0
8,587741601490993168,174.12704,26.86079,0.02200415016107915,13.058049201965332,17.91711667154415,10.48491549790658,475770.0,481135.0,105098.0,J113630.49+265138.8,0.033339027,0.033145513,0.9701641,26.486298,17.18906,0.97367674,157.27121,0.9734782,148.9516,5112.0,3.0,417.0,301,9884740000.0,28732326000.0,0.9430000185966492,1.0,1.0,0,0,0,0,0,0
9,587739845393186912,240.21455,15.151260999999998,0.21039347444419926,-999.0,18.074377946319128,10.416084384090759,526729.0,532306.0,173376.0,J160051.49+150904.5,0.033969767,0.034041286,0.8130452,39.647247,12.340964,0.91132116,48.288895,0.896054,54.761383,4678.0,4.0,257.0,301,20421003000.0,26413920000.0,0.9089999794960022,0.9378055799524294,0.7846713931289158,0,0,0,0,0,0
10,588017703456997422,155.8859,10.959712,0.2045565763650816,-999.0,20.780389400415594,10.393255615594354,320066.0,325310.0,82605.0,J102332.60+105734.9,0.03190522,0.031438753,0.7745202,8.896088,11.654552,0.80948216,6.7865906,0.8053315,77.32202,3538.0,4.0,254.0,301,9571628000.0,9413278000.0,1.0,0.9510668053820519,0.9716090393676541,0,0,0,0,0,0
11,587726032265019471,217.67639,1.8814495,0.23215214946713306,13.399030685424805,18.12178140357284,10.372688051366168,73929.0,76418.0,155592.0,J143042.33+015253.2,0.033795625,0.033451397,0.7652361,5.3617554,16.809618,0.8332861,9.392456,0.84329224,149.21619,1462.0,3.0,616.0,301,14937286000.0,22068204000.0,1.0,0.9797830757256693,1.0,0,0,0,0,0,0
12,587742060557107219,234.96122999999997,14.187394,0.11476785761298128,-999.0,16.37198990392593,10.456482552571462,567319.0,572907.0,169410.0,J153950.69+141114.6,0.0323711,0.032374427,0.85998523,51.388,14.320828,0.8928586,49.74463,0.9251752,41.16513,5194.0,2.0,784.0,301,15230165000.0,19422353000.0,0.9509999752044678,1.0,1.0,0,0,0,0,0,0
13,587732136451702825,154.83788,49.117554,0.534714531302081,-999.0,21.569020708177312,10.94897088103507,156509.0,160561.0,81014.0,J101920.82+490701.2,0.053976174,0.05417369,0.5522712,49.424805,16.61832,0.64467394,53.924423,0.5875138,53.20523,2883.0,5.0,73.0,301,63888080000.0,87274365000.0,0.9739999771118164,0.9726114984144908,0.953269182414669,0,0,0,0,0,0
14,588010360693719113,172.87599,6.066137,0.9349695820258382,19.15153312683105,21.223679044929945,10.544302227878537,147082.0,150893.0,103554.0,J113130.23+060358.0,0.034985125,0.034446083,0.60516226,136.8407,14.906153,0.6728104,136.43738,0.75383514,138.75739,2126.0,6.0,358.0,301,18507977000.0,28118989000.0,1.0,1.0,1.0,0,1,0,0,0,0
15,587732578837856322,139.74191000000002,5.8883867,0.034395715208285466,26.67438697814941,17.12411410788461,10.548654911179304,648348.0,-1.0,-1.0,J091857.89+055314.9,0.038259663,0.037761938,0.94391376,92.16162,14.157853,0.9617909,82.99936,0.9845238,89.609375,2986.0,5.0,142.0,301,22406332000.0,24962621000.0,0.949999988079071,0.9192123025537339,1.0,0,0,0,0,0,0
16,587739827669565549,226.21662999999998,21.069457999999997,0.16569423492099794,16.590959548950195,19.0033105337077,10.455780047441529,460889.0,466252.0,163097.0,J150451.99+210410.0,0.034666855,0.03468617,0.80754495,25.007355,11.856368,0.828138,24.132568,0.8639869,20.652924,4674.0,3.0,152.0,301,16839321000.0,18447317000.0,0.9509999752044678,1.0,0.9596837876183242,0,0,0,0,0,0
